brokered_by,price,bed,bath,house_size,status_sold,property_type_large,property_type_medium,property_type_small
55379,329900,2,2,1153,1,0,0,1
56419,630000,7,3,2629,1,0,1,0
22611,500000,3,3,2210,1,0,1,0
53048,485000,4,3,2461,1,0,1,0
55968,299990,2,2,1280,1,0,0,1
16829,1148000,4,4,5283,1,1,0,0
30189,289900,2,2,1300,1,0,0,1
99031,72900,2,1,780,1,0,0,1
10685,659900,4,2,1818,1,0,1,0
19604,599900,3,2,1569,1,0,1,0
23719,709900,3,3,2194,1,0,1,0
55379,549900,3,2,2208,1,0,1,0
14478,1025000,4,3,2900,1,0,1,0
53189,549000,3,2,2122,1,0,1,0
9110,669000,4,3,2715,1,0,1,0
55379,459900,3,2,1392,1,0,0,1
56060,524900,3,1,1324,1,0,0,1
22725,650000,3,2,2098,1,0,1,0
30493,899000,4,3,2764,1,0,1,0
23592,439900,3,2,1665,1,0,1,0
38539,475000,4,2,2000,1,0,1,0
56060,649900,4,2,2490,1,0,1,0
22611,535000,3,1,1400,1,0,0,1
22611,649000,3,2,1180,1,0,0,1
14478,575000,3,2,1793,1,0,1,0
79405,449900,3,2,1186,1,0,0,1
14478,1150000,4,3,3261,1,1,0,0
15891,327000,2,1,959,1,0,0,1
107929,395000,2,2,2030,1,0,1,0
107929,849900,5,3,2756,1,0,1,0
63313,629900,6,2,2500,1,0,1,0
83628,339900,3,1,1369,1,0,0,1
91944,265000,4,1,1260,1,0,0,1
22616,575000,3,2,1362,1,0,0,1
78998,849900,4,3,2724,1,0,1,0
103304,299000,2,1,950,1,0,0,1
107929,709900,3,3,2300,1,0,1,0
10685,546000,3,2,1773,1,0,1,0
103304,409000,2,2,1202,1,0,0,1
53498,519900,2,2,1236,1,0,0,1
22797,349000,2,1,856,1,0,0,1
37324,529900,3,2,924,1,0,0,1
20997,439900,1,2,768,1,0,0,1
56417,679000,3,3,2168,1,0,1,0
61421,569900,2,2,1388,1,0,0,1
84533,549900,3,1,1490,1,0,0,1
30682,624900,3,2,1725,1,0,1,0
53016,719900,4,2,1778,1,0,1,0
52660,545000,8,3,2872,1,0,1,0
57142,439000,2,2,1400,1,0,0,1
19252,829000,3,4,2379,1,0,1,0
101898,499000,4,1,1697,1,0,1,0
53498,425000,4,3,1964,1,0,1,0
53189,665000,5,4,4067,1,1,0,0
22701,629900,3,1,1296,1,0,0,1
78796,469900,3,1,1020,1,0,0,1
53189,675000,3,2,3441,1,1,0,0
53189,599900,3,2,1998,1,0,1,0
53016,410000,3,2,1240,1,0,0,1
42948,424900,2,2,1382,1,0,0,1
42948,574900,3,2,1459,1,0,0,1
109914,525000,3,2,1372,1,0,0,1
98733,510000,2,3,1907,1,0,1,0
84533,424900,3,1,1305,1,0,0,1
44805,689999,4,3,2284,1,0,1,0
22673,529900,6,2,2510,1,0,1,0
10685,624900,5,3,2501,1,0,1,0
83628,375000,3,2,1403,1,0,0,1
28149,319900,2,2,1696,1,0,1,0
75099,319900,2,2,1605,1,0,1,0
78796,210000,2,1,676,1,0,0,1
63313,319000,2,2,1645,1,0,1,0
53283,325000,4,2,1559,1,0,1,0
10685,540000,3,2,1999,1,0,1,0
36460,224900,2,1,730,1,0,0,1
78796,579900,5,2,2520,1,0,1,0
101898,449000,4,2,1800,1,0,1,0
78725,474900,3,1,1182,1,0,0,1
15891,639900,6,3,3504,1,1,0,0
42948,729000,4,3,2739,1,0,1,0
81483,240000,2,2,1118,1,0,0,1
87348,409900,4,1,1225,1,0,0,1
57226,349999,3,2,1714,1,0,1,0
55379,499900,3,3,1780,1,0,1,0
57226,315000,2,2,1350,1,0,0,1
49914,489900,4,2,2077,1,0,1,0
55379,799800,4,4,3552,1,1,0,0
55379,599900,3,2,1707,1,0,1,0
56419,499850,3,2,2122,1,0,1,0
78725,659900,3,2,1922,1,0,1,0
22621,319900,2,2,1300,1,0,0,1
88427,389900,6,2,2159,1,0,1,0
15937,250000,3,2,1240,1,0,0,1
15937,250000,2,2,1320,1,0,0,1
53498,660000,6,3,3471,1,1,0,0
53498,369900,3,1,1233,1,0,0,1
33714,359900,2,1,1424,1,0,0,1
56419,339900,3,2,1283,1,0,0,1
28168,369900,2,3,1304,1,0,0,1
84533,427900,3,1,1145,1,0,0,1
23906,530516,4,2,1911,1,0,1,0
10685,524900,5,2,2961,1,0,1,0
7804,549900,3,2,1680,1,0,1,0
44437,439000,3,3,1170,1,0,0,1
82609,529000,4,2,2039,1,0,1,0
14933,219900,2,1,798,1,0,0,1
107929,569900,3,3,2175,1,0,1,0
23592,995000,9,5,3620,1,1,0,0
53498,935000,3,3,3184,1,1,0,0
57226,269900,2,1,850,1,0,0,1
107929,339900,2,2,1315,1,0,0,1
22616,289900,2,2,1052,1,0,0,1
22616,1350000,5,3,4450,1,1,0,0
22629,219000,1,1,616,1,0,0,1
22616,925000,4,3,2648,1,0,1,0
53016,550000,3,1,1716,1,0,1,0
23889,649900,4,3,2345,1,0,1,0
53310,849900,4,3,1931,1,0,1,0
107929,299900,2,2,1050,1,0,0,1
57226,259900,2,2,1315,1,0,0,1
22796,579900,3,3,2448,1,0,1,0
57226,264000,2,1,850,1,0,0,1
10685,1280000,5,4,4476,1,1,0,0
78998,959900,4,3,3171,1,1,0,0
84533,1199000,4,4,4584,1,1,0,0
79405,390000,2,2,1754,1,0,1,0
18982,230000,1,1,665,1,0,0,1
53016,215000,1,1,685,1,0,0,1
53189,325000,1,2,775,1,0,0,1
84533,249000,2,1,790,1,0,0,1
107929,274900,3,1,964,1,0,0,1
53118,315000,2,1,927,1,0,0,1
94944,385000,2,2,1192,1,0,0,1
43724,243700,2,2,1800,1,0,1,0
22616,219900,2,1,735,1,0,0,1
101313,172500,2,1,737,1,0,0,1
13801,479900,5,2,2128,1,0,1,0
85188,399999,6,2,2074,1,0,1,0
53189,249900,2,1,1100,1,0,0,1
100038,399000,5,2,2662,1,0,1,0
28579,309999,2,2,1440,1,0,0,1
27824,369900,4,3,1897,1,0,1,0
94375,389800,3,3,1583,1,0,1,0
84533,234900,2,1,854,1,0,0,1
15876,278900,2,2,950,1,0,0,1
22611,409000,2,2,1506,1,0,1,0
78724,499900,4,2,1780,1,0,1,0
53016,569900,8,3,4793,1,1,0,0
52425,435000,2,2,1382,1,0,0,1
11299,599000,2,2,1772,1,0,1,0
79201,1595000,4,5,4250,1,1,0,0
84533,959000,3,4,3276,1,1,0,0
10390,749000,3,2,2099,1,0,1,0
22701,324900,1,2,660,1,0,0,1
22611,200000,2,2,943,1,0,0,1
28579,529999,3,2,1453,1,0,0,1
55379,219900,3,2,1463,1,0,0,1
30189,299900,2,2,1484,1,0,0,1
56060,399900,2,2,1689,1,0,1,0
57226,425000,3,2,1592,1,0,1,0
7865,629900,4,3,2356,1,0,1,0
94697,325000,4,2,2044,1,0,1,0
53016,325000,3,1,1338,1,0,0,1
78535,849900,4,3,3085,1,1,0,0
53189,825000,4,3,2918,1,0,1,0
22725,474000,3,2,1697,1,0,1,0
49892,189900,2,2,1000,1,0,0,1
49892,75000,2,2,980,1,0,0,1
22673,484900,3,3,1920,1,0,1,0
104020,529900,3,2,1957,1,0,1,0
83628,525000,6,2,2701,1,0,1,0
22673,479900,3,3,1920,1,0,1,0
94697,699900,4,3,2544,1,0,1,0
94697,135000,2,2,1145,1,0,0,1
22725,669900,6,3,3656,1,1,0,0
53189,629000,4,2,2319,1,0,1,0
22611,729000,6,2,3152,1,1,0,0
53189,400000,2,2,1275,1,0,0,1
23592,829900,4,3,2452,1,0,1,0
53016,364900,2,2,1678,1,0,1,0
56419,615000,4,3,2000,1,0,1,0
78136,429000,3,3,1435,1,0,0,1
56419,429900,3,2,1728,1,0,1,0
22673,375000,3,2,1424,1,0,0,1
20701,649900,4,3,3115,1,1,0,0
17655,699990,11,3,4600,1,1,0,0
78796,439900,3,2,1590,1,0,1,0
15891,499900,6,2,2388,1,0,1,0
100853,439900,3,2,1524,1,0,1,0
10686,539900,5,3,2650,1,0,1,0
22616,359000,2,2,1257,1,0,0,1
21887,369900,3,2,1559,1,0,1,0
23906,419900,3,3,1280,1,0,0,1
21887,319900,2,2,1605,1,0,1,0
14933,699000,5,3,3749,1,1,0,0
15937,599000,4,1,3658,1,1,0,0
83482,359900,3,1,1067,1,0,0,1
10686,639900,3,3,3648,1,1,0,0
94697,499000,3,2,1724,1,0,1,0
36026,299900,2,2,1642,1,0,1,0
57226,239900,2,2,1118,1,0,0,1
53016,349900,3,1,1141,1,0,0,1
78796,399000,3,3,1552,1,0,1,0
11297,399900,3,2,1684,1,0,1,0
33714,479900,3,2,2564,1,0,1,0
53189,389000,3,3,1891,1,0,1,0
23950,599900,3,3,2716,1,0,1,0
15937,280000,2,2,1389,1,0,0,1
57226,949900,3,3,3490,1,1,0,0
21226,699000,5,2,1720,1,0,1,0
35468,699900,4,2,2576,1,0,1,0
17658,799900,3,2,2419,1,0,1,0
78535,569900,2,2,1325,1,0,0,1
21226,540000,4,2,1987,1,0,1,0
72285,699900,3,2,1879,1,0,1,0
56413,713000,2,2,1790,1,0,1,0
102135,639900,3,2,1716,1,0,1,0
48898,675000,3,2,2515,1,0,1,0
107925,1499900,4,4,4623,1,1,0,0
56413,804000,2,2,1790,1,0,1,0
57226,365000,3,2,1375,1,0,0,1
21888,450000,3,1,1728,1,0,1,0
14933,389900,3,3,1580,1,0,1,0
21888,415000,3,1,3697,1,1,0,0
78796,826210,3,4,3400,1,1,0,0
48249,815000,6,4,3564,1,1,0,0
36048,295000,2,2,965,1,0,0,1
4867,439900,3,2,1352,1,0,0,1
58734,675000,6,4,3156,1,1,0,0
21887,445000,4,2,1796,1,0,1,0
52702,325000,2,2,1540,1,0,1,0
94173,650000,8,2,2512,1,0,1,0
22796,799900,4,3,3100,1,1,0,0
22616,669000,4,2,2106,1,0,1,0
21888,459900,3,2,1491,1,0,0,1
53016,599000,3,2,1736,1,0,1,0
107929,485000,3,2,2119,1,0,1,0
83482,669900,4,3,2014,1,0,1,0
17658,235000,2,2,951,1,0,0,1
23522,399900,3,2,1647,1,0,1,0
53047,259900,2,2,817,1,0,0,1
53047,559000,7,3,3086,1,1,0,0
42260,429900,4,2,2006,1,0,1,0
21880,224900,2,1,1100,1,0,0,1
53016,299900,2,2,1698,1,0,1,0
22611,239900,1,1,849,1,0,0,1
78724,289900,2,2,1152,1,0,0,1
56419,429900,3,2,1823,1,0,1,0
56060,229900,2,1,1038,1,0,0,1
55379,154900,1,1,725,1,0,0,1
78725,165000,1,1,747,1,0,0,1
44437,209999,2,2,804,1,0,0,1
57226,175000,2,1,919,1,0,0,1
53048,229900,2,1,870,1,0,0,1
23592,599900,7,4,3264,1,1,0,0
20612,439900,3,2,2090,1,0,1,0
53016,669300,4,4,3755,1,1,0,0
78929,349900,3,1,1277,1,0,0,1
56419,489000,4,2,2300,1,0,1,0
53189,949900,4,3,3629,1,1,0,0
22673,695000,4,4,2700,1,0,1,0
20715,459900,4,2,1384,1,0,0,1
53016,389000,2,2,1386,1,0,0,1
15937,379000,3,1,1612,1,0,1,0
53189,799000,4,3,3509,1,1,0,0
110138,899900,4,3,3703,1,1,0,0
7865,625000,5,2,2784,1,0,1,0
56419,480000,3,1,1459,1,0,0,1
10389,499000,2,3,1833,1,0,1,0
53189,749900,3,3,2240,1,0,1,0
31840,399900,2,1,939,1,0,0,1
96098,599900,6,2,3206,1,1,0,0
106614,625000,6,2,1840,1,0,1,0
55379,690000,6,3,2790,1,0,1,0
91886,599900,6,2,2456,1,0,1,0
53016,575000,9,4,3341,1,1,0,0
83628,699900,7,5,3680,1,1,0,0
15891,339900,4,1,1782,1,0,1,0
94173,489000,3,2,1816,1,0,1,0
91886,459900,4,2,1470,1,0,0,1
98763,649900,5,2,2126,1,0,1,0
106614,539900,6,3,2212,1,0,1,0
33714,270000,2,2,904,1,0,0,1
78725,294900,3,2,1100,1,0,0,1
109914,499900,5,4,2564,1,0,1,0
6367,699888,3,2,1657,1,0,1,0
72285,545000,2,2,1030,1,0,0,1
84533,1589000,4,5,5200,1,1,0,0
12595,729900,4,2,1846,1,0,1,0
72285,699900,6,2,2916,1,0,1,0
78725,699900,3,2,1800,1,0,1,0
21226,649900,2,3,2024,1,0,1,0
105652,1350000,4,4,3544,1,1,0,0
15937,539900,4,2,1736,1,0,1,0
30189,239900,2,2,1010,1,0,0,1
49914,409900,2,2,1506,1,0,1,0
108989,679000,6,3,3199,1,1,0,0
84533,360000,3,1,1395,1,0,0,1
22616,259900,1,1,1013,1,0,0,1
25619,429000,2,3,1218,1,0,0,1
53016,489900,3,1,1416,1,0,0,1
53016,479900,3,2,1436,1,0,0,1
78998,499900,2,2,1272,1,0,0,1
58113,954900,4,4,5045,1,1,0,0
30519,535000,3,1,1274,1,0,0,1
10685,599000,6,2,2620,1,0,1,0
107929,875000,4,3,2854,1,0,1,0
82650,249900,2,1,850,1,0,0,1
22616,989000,4,3,3847,1,1,0,0
22616,539000,3,2,2428,1,0,1,0
82650,639900,5,3,4114,1,1,0,0
82650,254900,1,2,911,1,0,0,1
81773,415000,2,2,1516,1,0,1,0
84533,1249900,4,3,4883,1,1,0,0
6955,277000,2,2,1125,1,0,0,1
107929,779900,4,2,3502,1,1,0,0
33714,394888,3,2,2079,1,0,1,0
33714,389888,3,2,1079,1,0,0,1
21880,325000,2,1,997,1,0,0,1
78998,199900,1,1,675,1,0,0,1
86096,740000,4,3,2588,1,0,1,0
53016,499900,3,2,1844,1,0,1,0
22616,549900,4,2,1931,1,0,1,0
78664,355000,2,2,1108,1,0,0,1
33714,895000,4,4,3960,1,1,0,0
53016,244900,2,1,750,1,0,0,1
22616,995000,4,3,3670,1,1,0,0
21887,279000,2,2,885,1,0,0,1
57226,799000,6,2,2881,1,0,1,0
78998,499000,2,2,1436,1,0,0,1
100742,329000,2,2,1428,1,0,0,1
107929,750000,5,3,2852,1,0,1,0
22616,975000,5,4,3539,1,1,0,0
10685,489900,3,3,1404,1,0,0,1
57226,269900,2,1,850,1,0,0,1
55380,241100,2,3,1800,1,0,1,0
83628,189000,2,1,768,1,0,0,1
53016,569000,7,3,3425,1,1,0,0
23906,619000,3,3,3568,1,1,0,0
47612,685000,5,3,2458,1,0,1,0
74837,435000,3,3,1240,1,0,0,1
15891,249900,2,2,1230,1,0,0,1
18982,549000,4,2,1512,1,0,1,0
21226,369900,3,1,1130,1,0,0,1
53016,579333,4,4,2468,1,0,1,0
49914,499900,3,2,1961,1,0,1,0
78725,449900,3,2,2277,1,0,1,0
23592,365000,2,1,973,1,0,0,1
21887,398000,3,2,1491,1,0,0,1
40702,359900,4,2,1476,1,0,0,1
91886,529900,6,2,1896,1,0,1,0
53016,525000,6,2,2632,1,0,1,0
18283,625000,8,3,3497,1,1,0,0
50732,195000,2,1,722,1,0,0,1
21887,594900,8,3,3400,1,1,0,0
15891,299900,3,2,1246,1,0,0,1
57226,489900,2,2,1477,1,0,0,1
94944,664900,2,3,2750,1,0,1,0
55379,379900,2,1,1308,1,0,0,1
15891,339000,2,2,1316,1,0,0,1
2329,399900,2,2,2075,1,0,1,0
91844,519900,3,3,1892,1,0,1,0
100800,717995,2,3,2294,1,0,1,0
57226,365000,3,2,1375,1,0,0,1
57226,365000,3,2,1375,1,0,0,1
69556,434999,2,2,1320,1,0,0,1
78725,599900,4,2,1813,1,0,1,0
22611,444000,3,2,1371,1,0,0,1
48249,749900,5,3,2774,1,0,1,0
85188,400000,4,2,1768,1,0,1,0
50260,799900,3,3,2788,1,0,1,0
35468,424900,2,2,1581,1,0,1,0
17887,750000,4,3,2500,1,0,1,0
56419,514900,3,2,1481,1,0,0,1
57226,739000,3,4,2610,1,0,1,0
79347,399900,2,2,1347,1,0,0,1
84533,499000,2,3,1547,1,0,1,0
30515,396900,2,2,1581,1,0,1,0
10685,599000,3,3,1700,1,0,1,0
73482,569000,3,3,2305,1,0,1,0
83150,749900,4,3,3125,1,1,0,0
53120,643900,4,2,2300,1,0,1,0
78796,459900,2,2,1408,1,0,0,1
22616,600000,4,2,2393,1,0,1,0
36460,609000,4,3,2280,1,0,1,0
78279,383000,2,2,1274,1,0,0,1
105652,314900,2,1,1000,1,0,0,1
55379,960000,4,6,5439,1,1,0,0
63744,675000,3,3,2316,1,0,1,0
76133,475900,2,2,2546,1,0,1,0
3860,385000,2,2,1003,1,0,0,1
31839,849900,4,3,2483,1,0,1,0
32314,575000,3,2,1302,1,0,0,1
36857,539000,3,2,1344,1,0,0,1
27208,749900,3,3,2267,1,0,1,0
69652,870000,4,4,3136,1,1,0,0
22626,629000,3,2,1907,1,0,1,0
84533,719900,3,3,2002,1,0,1,0
56060,599000,3,2,1216,1,0,0,1
21226,499900,2,2,1162,1,0,0,1
57226,649900,2,2,1335,1,0,0,1
53141,339500,2,1,756,1,0,0,1
20640,529000,2,2,1269,1,0,0,1
87804,399900,1,1,1008,1,0,0,1
7865,264900,1,1,588,1,0,0,1
2261,519900,2,2,1055,1,0,0,1
78279,480000,2,1,1050,1,0,0,1
12595,539900,3,1,1122,1,0,0,1
22619,849000,4,3,2142,1,0,1,0
93737,344900,2,2,817,1,0,0,1
109519,589000,2,3,2004,1,0,1,0
53048,545000,3,2,1665,1,0,1,0
109914,799900,4,3,2080,1,0,1,0
22797,775000,3,3,2226,1,0,1,0
78535,799900,3,4,3800,1,1,0,0
32851,880000,3,3,2510,1,0,1,0
51956,719900,3,2,1836,1,0,1,0
21226,494900,2,2,1340,1,0,0,1
78535,850000,4,3,2589,1,0,1,0
105652,799900,3,2,2885,1,0,1,0
78998,430000,3,2,1693,1,0,1,0
51956,599900,2,2,1433,1,0,0,1
23592,1249000,5,3,3100,1,1,0,0
102135,359000,1,1,1294,1,0,0,1
62740,299000,1,1,793,1,0,0,1
67898,349900,1,1,884,1,0,0,1
67898,184933,1,1,765,1,0,0,1
23906,499775,3,2,2112,1,0,1,0
10686,194900,2,2,717,1,0,0,1
53016,415000,4,2,2901,1,0,1,0
81483,399900,3,2,2632,1,0,1,0
15891,160000,1,1,545,1,0,0,1
15891,180000,2,1,670,1,0,0,1
22611,719000,6,2,3095,1,1,0,0
53189,445000,3,2,1177,1,0,0,1
107960,499900,8,4,3058,1,1,0,0
78136,400000,4,1,1582,1,0,1,0
108420,469000,3,2,1380,1,0,0,1
23923,539900,3,3,2304,1,0,1,0
102940,569000,6,3,2904,1,0,1,0
63940,539500,4,2,1564,1,0,1,0
101637,659723,8,3,2668,1,0,1,0
22621,399000,2,2,1575,1,0,1,0
21351,249000,1,1,824,1,0,0,1
22776,405000,2,2,1430,1,0,0,1
53016,269000,1,1,600,1,0,0,1
67898,539900,3,3,2282,1,0,1,0
78929,449900,3,2,1300,1,0,0,1
10732,239900,3,1,1371,1,0,0,1
14802,479000,4,3,1302,1,0,0,1
15937,499900,3,3,1544,1,0,1,0
101486,715000,5,2,1994,1,0,1,0
53016,899900,7,3,3611,1,1,0,0
107925,449900,4,2,1251,1,0,0,1
78136,220000,1,1,525,1,0,0,1
20997,850000,11,3,3528,1,1,0,0
78136,729000,6,3,2547,1,0,1,0
23592,425000,3,1,1268,1,0,0,1
16232,175000,2,2,680,1,0,0,1
16232,499900,3,1,1329,1,0,0,1
89024,189000,1,1,700,1,0,0,1
68560,549900,3,2,1500,1,0,1,0
15937,359900,3,1,1298,1,0,0,1
102940,520974,4,4,1584,1,0,1,0
78136,800000,7,3,3577,1,1,0,0
52612,447000,3,1,1150,1,0,0,1
56419,565000,4,3,2088,1,0,1,0
6290,370000,2,1,1315,1,0,0,1
53570,459900,3,2,1223,1,0,0,1
73482,509900,4,2,1664,1,0,1,0
41735,579000,5,2,2011,1,0,1,0
17660,700000,6,3,2386,1,0,1,0
100906,839900,6,4,3180,1,1,0,0
100906,889900,5,4,3200,1,1,0,0
18575,549900,3,2,1512,1,0,1,0
107925,649900,3,2,2100,1,0,1,0
10686,399900,2,1,1028,1,0,0,1
53016,599000,4,2,2204,1,0,1,0
84533,629900,7,3,2135,1,0,1,0
100906,529900,3,1,1210,1,0,0,1
100906,439900,4,1,1263,1,0,0,1
78136,435000,3,1,1052,1,0,0,1
14933,459900,2,2,1600,1,0,1,0
18575,469900,3,1,1072,1,0,0,1
107960,499000,2,2,1252,1,0,0,1
22673,569900,4,2,2697,1,0,1,0
107960,508800,2,2,1252,1,0,0,1
107960,478800,2,2,1420,1,0,0,1
107960,508800,2,2,1433,1,0,0,1
31673,409900,3,2,1001,1,0,0,1
107960,478800,2,2,1420,1,0,0,1
53120,289000,1,1,778,1,0,0,1
16232,299900,2,1,994,1,0,0,1
53226,659900,3,2,2011,1,0,1,0
14933,439900,2,2,1200,1,0,0,1
15937,399900,2,1,720,1,0,0,1
78136,580000,6,2,2879,1,0,1,0
15937,475000,2,2,1998,1,0,1,0
100906,529900,5,2,1802,1,0,1,0
1145,499900,3,1,1315,1,0,0,1
20997,599950,6,2,4382,1,1,0,0
14933,459900,2,2,1600,1,0,1,0
102940,699721,7,2,2440,1,0,1,0
38539,475000,3,2,1110,1,0,0,1
15937,305000,2,1,738,1,0,0,1
78279,475000,3,2,1390,1,0,0,1
14933,459900,2,2,1600,1,0,1,0
14933,439900,2,2,1200,1,0,0,1
62379,1125000,14,6,5901,1,1,0,0
22611,569000,3,3,1700,1,0,1,0
58503,539900,3,2,1600,1,0,1,0
15937,160000,1,1,579,1,0,0,1
21887,410000,3,2,1536,1,0,1,0
83482,669000,8,3,3791,1,1,0,0
55379,425000,3,2,1800,1,0,1,0
81122,699900,3,3,1967,1,0,1,0
52300,965000,4,4,3582,1,1,0,0
18575,265000,2,1,650,1,0,0,1
58503,74900,2,10,800,1,0,0,1
84533,639900,3,2,2042,1,0,1,0
18575,899900,4,5,5206,1,1,0,0
53189,499900,4,2,2313,1,0,1,0
10390,489900,2,2,1249,1,0,0,1
18055,679000,3,3,2064,1,0,1,0
61484,375000,2,2,897,1,0,0,1
18575,599900,4,2,1944,1,0,1,0
15338,249000,1,1,750,1,0,0,1
53498,669000,5,2,2346,1,0,1,0
15937,794000,5,3,3319,1,1,0,0
84705,374900,2,2,1071,1,0,0,1
82091,840000,4,3,2250,1,0,1,0
24035,1299000,6,4,3071,1,1,0,0
82091,989000,3,3,2556,1,0,1,0
53120,499900,2,1,911,1,0,0,1
22611,958000,3,3,2194,1,0,1,0
20997,1299500,4,4,2504,1,0,1,0
78136,795000,3,3,2150,1,0,1,0
22611,610000,2,1,1080,1,0,0,1
53016,999900,7,3,4236,1,1,0,0
71303,599000,2,1,1040,1,0,0,1
100906,1450000,9,4,4184,1,1,0,0
56419,400000,2,2,1135,1,0,0,1
22611,1075000,5,4,2512,1,0,1,0
53016,468900,3,2,1768,1,0,1,0
15497,599000,4,3,1364,1,0,0,1
84533,500000,4,2,1919,1,0,1,0
6955,499900,2,2,1162,1,0,0,1
16829,1049900,4,3,3619,1,1,0,0
69652,899000,4,3,2072,1,0,1,0
81604,480000,3,2,1530,1,0,1,0
53048,774900,4,3,2670,1,0,1,0
9109,674900,2,2,1827,1,0,1,0
23592,1349000,2,3,1662,1,0,1,0
23592,2599000,5,5,4525,1,1,0,0
56060,675000,3,1,1120,1,0,0,1
91603,1299900,3,3,2535,1,0,1,0
59721,1579000,4,3,2878,1,0,1,0
53118,1599000,4,3,2807,1,0,1,0
11299,675000,2,2,2130,1,0,1,0
9110,570000,2,2,1240,1,0,0,1
57226,395000,2,1,1525,1,0,1,0
57226,299900,1,1,606,1,0,0,1
53118,1599000,4,4,3224,1,1,0,0
84533,1550000,4,4,4372,1,1,0,0
57226,1300000,5,2,3065,1,1,0,0
78279,199900,1,1,706,1,0,0,1
17655,559000,6,3,2391,1,0,1,0
17655,399900,3,1,1083,1,0,0,1
84533,289900,1,1,733,1,0,0,1
78136,589900,3,2,2347,1,0,1,0
78136,429800,3,1,1489,1,0,0,1
85568,879000,9,4,4300,1,1,0,0
20997,479000,3,2,1429,1,0,0,1
12943,525000,4,2,1500,1,0,1,0
71922,779900,5,4,2301,1,0,1,0
78136,829000,4,3,2750,1,0,1,0
56419,610000,6,3,2898,1,0,1,0
94697,515000,4,2,1700,1,0,1,0
48246,459900,2,2,1300,1,0,0,1
62379,619900,4,3,1800,1,0,1,0
48246,569000,4,3,2100,1,0,1,0
78136,485000,3,2,1804,1,0,1,0
78136,675000,7,2,3110,1,1,0,0
78136,599900,4,2,1912,1,0,1,0
78136,869900,4,4,3164,1,1,0,0
78136,569900,3,2,1390,1,0,0,1
22626,469000,3,1,1776,1,0,1,0
100906,399900,3,2,1027,1,0,0,1
53016,479900,4,2,1520,1,0,1,0
101898,449900,3,2,1858,1,0,1,0
10685,469900,4,2,1365,1,0,0,1
53016,270000,3,1,925,1,0,0,1
78929,649900,4,2,2280,1,0,1,0
29859,429900,3,1,1260,1,0,0,1
55968,447990,3,1,1200,1,0,0,1
78535,449900,4,2,1673,1,0,1,0
10732,549900,3,2,1528,1,0,1,0
48246,405000,3,1,1297,1,0,0,1
89024,899000,5,4,2861,1,0,1,0
22611,499000,2,2,1640,1,0,1,0
48246,285000,2,1,832,1,0,0,1
83341,2199999,3,5,3032,1,1,0,0
38539,625000,3,3,1851,1,0,1,0
6290,529000,6,2,2420,1,0,1,0
24262,599900,3,2,1718,1,0,1,0
48246,489000,3,2,1791,1,0,1,0
55379,680000,4,2,1853,1,0,1,0
94697,750000,5,3,3744,1,1,0,0
65839,315000,2,2,900,1,0,0,1
14933,205000,1,1,640,1,0,0,1
7804,339000,3,1,1040,1,0,0,1
105309,219900,2,1,771,1,0,0,1
22725,875000,3,4,2900,1,0,1,0
53016,1495000,6,5,4775,1,1,0,0
10111,699900,3,2,1700,1,0,1,0
22626,349000,2,1,1015,1,0,0,1
48365,329000,1,1,710,1,0,0,1
43395,579000,4,2,1296,1,0,0,1
53189,579000,3,2,1687,1,0,1,0
48246,559000,4,2,1481,1,0,0,1
56417,519000,3,2,1440,1,0,0,1
24035,499000,4,2,1790,1,0,1,0
65021,309000,2,2,1706,1,0,1,0
91943,399900,3,1,1240,1,0,0,1
24033,399900,2,2,1312,1,0,0,1
21887,779000,4,3,3506,1,1,0,0
81590,445000,5,2,1760,1,0,1,0
18575,579900,4,2,1245,1,0,0,1
58504,589900,4,2,1778,1,0,1,0
81604,650000,10,10,6216,1,1,0,0
48246,449900,2,2,1377,1,0,0,1
29859,499900,3,4,1431,1,0,0,1
69277,565000,3,2,1400,1,0,0,1
22611,459900,2,3,2396,1,0,1,0
22655,675000,4,3,2348,1,0,1,0
58504,639900,4,3,2388,1,0,1,0
27556,499900,4,2,1379,1,0,0,1
16829,859000,7,4,3448,1,1,0,0
84533,399000,2,2,1377,1,0,0,1
53016,589000,3,2,1449,1,0,0,1
28579,599900,3,2,2179,1,0,1,0
84533,599900,3,2,1476,1,0,0,1
81604,289900,2,1,864,1,0,0,1
15937,369000,2,2,938,1,0,0,1
18575,419900,3,1,1066,1,0,0,1
78136,499900,4,2,1918,1,0,1,0
78136,529000,3,2,1536,1,0,1,0
94367,349900,3,1,1048,1,0,0,1
51967,698999,6,4,2543,1,0,1,0
102940,499900,4,2,1214,1,0,0,1
23923,499900,4,2,1800,1,0,1,0
78136,469900,3,3,1520,1,0,1,0
107960,799900,8,3,3483,1,1,0,0
22621,579900,4,2,2194,1,0,1,0
22252,279900,2,1,739,1,0,0,1
15937,239000,2,1,747,1,0,0,1
15407,449900,2,1,1362,1,0,0,1
16829,1499900,4,3,4572,1,1,0,0
22611,594900,4,3,2560,1,0,1,0
78535,489900,2,2,1357,1,0,0,1
40522,635000,4,2,2790,1,0,1,0
32851,829900,4,3,3707,1,1,0,0
53016,499900,5,2,1728,1,0,1,0
105652,549900,3,2,1410,1,0,0,1
30435,638000,3,2,1880,1,0,1,0
107929,579900,3,1,1360,1,0,0,1
22797,519900,3,2,1677,1,0,1,0
